STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2057,,7960039,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2058,,8037696,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2059,,8113629,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2060,,8190236,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2061,,8263662,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2062,,8337189,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2063,,8409316,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2064,,8479375,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2065,,8546786,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2066,,8615174,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2067,,8678792,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2068,,8739002,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2069,,8797349,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUS,,POP,,PS,,F,,Y_GE50,,P,,2070,,8852449,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2024,,2048331,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2025,,2065576,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2026,,2080758,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2027,,2096108,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2028,,2111992,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2029,,2128703,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2030,,2145930,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2031,,2165819,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2032,,2186489,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2033,,2205845,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,AUT,,POP,,PS,,F,,Y_GE50,,P,,2034,,2223942,,A,,0,,,
